# Pointing,RA,DEC,integration time, IDs
P331+21,331.813708333,20.6410988889,0.0,None
P321+53,321.969108333,53.1860447222,0.0,None
P064+14,64.6402375,13.8954877778,0.0,None
P141+07,141.633241667,6.87346527778,0.0,None
P208+82,208.897625,82.4741019444,0.0,None
P296+18,296.812929167,17.8448325,0.0,None
P256+02,256.338083333,2.49370916667,0.0,None
P036+04,36.3122166667,3.62615555556,0.0,None
P296+13,296.9332,12.8255238889,0.0,None
P255+50,255.361583333,50.1761683333,0.0,None
P147+02,147.542245833,1.88593083333,0.0,None
P240+07,240.765958333,7.4153725,0.0,None
P014+24,14.1382833333,23.5179891667,0.0,None
P240+02,240.7926125,2.39519555556,0.0,None
P132+04,132.318683333,4.31023666667,0.0,None
P147+04,147.8946125,4.39804194444,0.0,None
P037+09,37.6053125,8.65737972222,0.0,None
P037+06,37.415975,6.14560388889,0.0,None
P242+28,242.497379167,27.5065583333,0.0,None
P147+09,147.6985125,9.41725805556,0.0,None
P9Hetdex01,170.43705,45.33236,8.01, 231169
P256+08,256.4297375,7.51466555556,0.0,None
P101+77,101.98075,76.8878630556,0.0,None
P012+49,12.3826041667,48.6018444444,0.0,None
P015+31,15.3190708333,31.0583008333,8.01, 593255
P158+25,158.736379167,24.5374175,0.0,None
P171+60,171.35675,59.7384680556,8.01, 573649
P298+28,298.045433333,27.8946333333,0.0,None
P171+67,171.458083333,67.2637997222,0.0,None
P320+21,320.751470833,20.5479069444,0.0,None
P320+23,320.593329167,23.0569166667,0.0,None
P308+15,308.121666667,15.4243111111,0.0,None
P298+20,298.648845833,20.3692202778,0.0,None
P298+23,298.101933333,22.8751722222,0.0,None
P050+79,50.4546083333,79.0135802778,0.0,None
P000+66,0.98915,66.0663413889,0.0,None
P206+12,206.780375,12.2408266667,0.0,None
P050+74,50.9471958333,74.0107783333,0.0,None
P311+38,311.4995875,38.0416402778,0.0,None
P311+33,311.6607375,33.0231455556,0.0,None
P032+21,32.77415,21.1675861111,0.0,None
P294+48,294.593208333,47.9465075,0.0,None
P206+15,206.255179167,14.7482833333,0.0,None
P346+56,346.270329167,55.9028722222,0.0,None
P227+12,227.978,12.3594088889,0.0,None
P032+29,32.1174125,28.6921147222,8.03, 521350
P227+15,227.676291667,14.8677663889,0.0,None
P183+77,183.5768875,77.3490555556,0.0,None
P356+48,356.742983333,48.4655513889,0.0,None
P106+54,106.632416667,54.3507155556,0.0,None
P329+18,329.469745833,18.1110922222,0.0,None
P262+15,262.509383333,15.0855261111,0.0,None
P122+37,122.433133333,36.8821563889,47.94, 523774
P122+34,122.874945833,34.3749733333,8.01, 547857
P295+25,295.751845833,25.366805,0.0,None
P295+23,295.2925875,22.8532147222,0.0,None
P295+20,295.890291667,20.3477497222,0.0,None
P114+47,114.864666667,46.8746425,0.0,None
P222+58,222.68315,57.5047016667,0.0,None
P295+28,295.117625,27.8719111111,0.0,None
P036+89,36.9305333333,88.6241341667,0.0,None
P038+04,38.905875,3.64782472222,0.0,None
P059+59,59.3902375,59.0308627778,0.0,None
P179+70,179.684829167,69.8140583333,0.0,None
P105+22,105.090708333,21.7138066667,0.0,None
P105+27,105.7898625,26.7383994444,0.0,None
P059+52,59.2915833333,51.5023041667,0.0,None
P054+19,54.0759791667,18.832715,0.0,None
P329+11,329.032758333,10.57705,0.0,None
P134+50,134.9357125,49.5039425,8.01, 526159
P144+07,144.240533333,6.88801222222,0.0,None
P144+02,144.952379167,1.87163055556,0.0,None
P152+07,152.066333333,6.93096194444,0.0,None
P010+39,10.8718833333,38.5495433333,0.0,None
P336+43,336.2982,43.2690383333,0.0,None
